x,y,labels,dist_from_origin,dist_from_TAC-1,name
0.021601228,-0.013710322,TAC-1,0.051179736852645874,0.10347415506839752,RNA PCA
7.826062e-05,-0.020011883,TAC-1,0.04002982750535011,0.05886112526059151,RNA PCA
-0.0071234736,-0.0040681157,TAC-1,0.016405809670686722,0.0686013400554657,RNA PCA
-0.029308729,-0.022274867,TAC-1,0.07365894317626953,0.020622245967388153,RNA PCA
0.0032601908,0.051054582,TAC-1,0.1024070605635643,0.17714686691761017,RNA PCA
-0.0767082,-0.03684689,TAC-1,0.17061030864715576,0.10091927647590637,RNA PCA
-0.11489494,-0.06485646,TAC-1,0.26541993021965027,0.18967770040035248,RNA PCA
0.04201038,0.025889205,TAC-1,0.09877383708953857,0.18006809055805206,RNA PCA
0.003533765,-0.0054424345,TAC-1,0.012973545119166374,0.08078501373529434,RNA PCA
0.01217331,-0.014176961,TAC-1,0.037375930696725845,0.08572353422641754,RNA PCA
-0.0168716,0.0072126277,TAC-1,0.03670058399438858,0.08133761584758759,RNA PCA
-0.006853372,-0.075508945,TAC-1,0.15193058550357819,0.09552595019340515,RNA PCA
0.01103338,-0.0012724545,TAC-1,0.022216252982616425,0.09761273115873337,RNA PCA
-0.1319718,0.036954254,TAC-1,0.27583155035972595,0.25393325090408325,RNA PCA
-0.1391283,0.03982286,TAC-1,0.29147693514823914,0.2693859934806824,RNA PCA
-0.08756743,-0.011729186,TAC-1,0.17716094851493835,0.12904301285743713,RNA PCA
-0.00035715132,-0.068596564,TAC-1,0.13741043210029602,0.09003724157810211,RNA PCA
0.06699855,0.06951029,TAC-1,0.19368861615657806,0.27722981572151184,RNA PCA
-0.06549327,-0.030499963,TAC-1,0.14474600553512573,0.07798178493976593,RNA PCA
-0.036213208,-0.074641995,TAC-1,0.16630803048610687,0.08730094134807587,RNA PCA
0.009095362,0.0015461649,TAC-1,0.0184505395591259,0.09842851012945175,RNA PCA
-0.08099762,-0.04859354,TAC-1,0.18947690725326538,0.11403188109397888,RNA PCA
0.059193306,-0.056742214,TAC-1,0.16436336934566498,0.17910413444042206,RNA PCA
-0.03397493,-0.06466129,TAC-1,0.14634791016578674,0.06672018021345139,RNA PCA
-0.030030323,-0.023145916,TAC-1,0.07586707174777985,0.019395343959331512,RNA PCA
0.037224475,-0.0008299774,TAC-1,0.07450157403945923,0.14248168468475342,RNA PCA
0.010999306,-0.00067930104,TAC-1,0.022041352465748787,0.09831711649894714,RNA PCA
-0.018492648,0.0046193455,TAC-1,0.03812679275870323,0.07554557174444199,RNA PCA
-0.021876626,-0.011919265,TAC-1,0.049835436046123505,0.041775137186050415,RNA PCA
-0.027113665,0.07701242,TAC-1,0.163656547665596,0.21896690130233765,RNA PCA
-0.04963066,-0.010152103,TAC-1,0.10140389204025269,0.06383290141820908,RNA PCA
0.046879057,0.018740224,TAC-1,0.10105828940868378,0.17910613119602203,RNA PCA
0.01680974,-0.0076711806,TAC-1,0.03695933520793915,0.09992711991071701,RNA PCA
-0.04897626,-0.0022855806,TAC-1,0.09813807159662247,0.07481566071510315,RNA PCA
-0.11540217,-0.06524754,TAC-1,0.26671066880226135,0.1909227967262268,RNA PCA
0.0918738,0.056130163,TAC-1,0.21616458892822266,0.29659634828567505,RNA PCA
